X	Y	concept	definition	id
14	15	life satisfaction	One’s cognitive evaluation of life experiences; this measure is concerned with whether people like their lives or not. Life satisfaction includes both general (e.g., my life is going well) and domain-specific (e.g., I am satisfied with my family life) aspects. 	trm_50f3c0af04e37
15	15	Limited Capacity		trm_551f0f822d95e
16	15	linguistic competence	a speaker&#39;s implicit, internalized knowledge of the rules of their language.	trm_4a3fd79d0a7f8
17	15	listening	to pay attention to sound; to hear something with thoughtful attention, give consideration; to be alert to catch an expected sound.	trm_4a3fd79d0a803
18	15	localization	write definition here	trm_5521a0512df9a
19	15	Locomotion	Locomotion is the act of moving the body from one place to another. It requires input from the brain, spinal cord, peripheral nerves, muscular power and joint and cardiovascular health.  	trm_50eb692db57eb
20	15	logic	a science that deals with the principles and criteria of validity of inference and demonstration; the science of the formal principles of reasoning.	trm_4a3fd79d0a80f
21	15	logical reasoning	The strategy when  one uses deduction, induction, or abduction to evaluate preconditions and rules to determnie a conclusion.  	trm_4a3fd79d0a81b
22	15	loneliness	"loneliness is a complex and unpleasant emotional response to isolation or lack of companionship.

http://en.wikipedia.org/wiki/Loneliness"	trm_529d0d62290de
23	15	long term memory	a system for permanently storing, managing, and retrieving information for later use, items of information stored as long-term memory may be available for a lifetime.	trm_4a3fd79d0a833
24	15	loss	A state of deprivation of a motivationally significant con-specific, object, or situation. Loss may be social or non-social and may include permanent or sustained loss of shelter, behavioral control, status, loved ones, or relationships. The response to loss may be episodic (e.g., grief) or sustained.	trm_5159c80c1dd24
25	15	loss anticipation	prior expectation of the occurrence of a loss, sometimes accompanied by an emotional reaction	trm_557b48a224b95
26	15	loss aversion	The tendency of individuals to be more sensitive to the possibility of losing objects or money than they are to the possibility of gaining the same objects or amounts of money.	trm_4a3fd79d0a83f
27	15	lying	the expression of a falsehood	trm_4a3fd79d0a84a
28	15	maintenance	The process of keeping information in active and immediately accessible state.	trm_4a3fd79d0ba30
29	15	manipulation	performance of operations upon information held in working memory	trm_4a3fd79d0ba3c
30	15	mathematical reasoning	Reasoning about mathematical objects	trm_4a3fd79d0a862
1	16	meaning	the connotation of a word or phrase	trm_4a3fd79d0a86e
2	16	mechanical reasoning	Reasoning about mechanical objects or functions	trm_4a3fd79d0a87a
3	16	melody	a linear succession of musical tones which is perceived as a single entity.	trm_4a3fd79d0a886
4	16	memory	"The ability of an organism to use past events to inform/influence current actions
"	trm_4a3fd79d0a891
5	16	memory acquisition	"is the process of storage and retrieval of new information in memory.
"	trm_4a3fd79d0b914
6	16	memory consolidation	a category of processes that stabilize a memory trace after the initial acquisition. 	trm_4a3fd79d0b920
7	16	memory decay	the loss of memory over time.	trm_4a3fd79d0b92c
8	16	memory retrieval	the process of accessing a stored memory	trm_4a3fd79d0ba01
9	16	memory storage	The representation of information in the brain in a form that enables potential retrieval at a later time.	trm_4a3fd79d0b938
10	16	memory trace	A residual, and often decayed, neural representation of previous knowledge or experience.	trm_4a3fd79d0b943
11	16	mental arithmetic	mathematical calculations done mentally, without writing them down.	trm_4a3fd79d0a8ed
12	16	mental imagery	is an experience that, on most occasions, significantly resembles the experience of perceiving (through any of the senses) of some object, event, or scene, but occurs when the relevant object, event, or scene is not actually present to the senses.	trm_4a3fd79d0a8fc
13	16	mental representation	a presentation to the mind in the form of an idea or image.	trm_4a3fd79d0a908
14	16	mental rotation	Ability to rotate an object in one&#39;s mind; ability to make perceptual judgments on a new spatial configuration of an object.	trm_4a3fd79d0a914
15	16	metacognition	awareness or analysis of one&#39;s own learning or thinking processes.	trm_4a3fd79d0a920
16	16	metacognitive skill	"a learners&#39; automatic awareness of their own knowledge and their ability to understand, control, and manipulate their own cognitive processes.
"	trm_4a3fd79d0a92b
17	16	metacomprehension	"refers to the learners&#39; ability to monitor the degree to which they understand information being communicated to them, to recognize failures to comprehend, and to employ repair strategies when failures are identified.
"	trm_4d7fc763cf777
18	16	metamemory	subjective awareness of and knowledge about memory, and strategies for its effective access and application; includes: awareness of memory contents, different and appropriate memory strategies for particular tasks, and how to use a given memory strategy most effectively.	trm_4a3fd79d0b94f
19	16	metaphor	a figure of speech in which a word or phrase literally denoting one kind of object or idea is used in place of another to suggest a likeness or analogy between them.	trm_4a3fd79d0a937
20	16	misattribution	attributing an event to something with which it has no connection or association.	trm_4a3fd79d0a943
21	16	monetary reward prediction error	write definition here	trm_559f0a5b4cd36
22	16	monitoring	the act of checking for particular kinds of information	trm_4a3fd79d0a94f
23	16	mood	a conscious state of mind or predominant emotion.	trm_4a3fd79d0a95a
24	16	morphological processing	is how the brain registers the patterns of word formation in a particular language, including inflection, derivation, and composition. 	trm_4a3fd79d0b832
25	16	morphology	the structure and content of word forms	trm_4a3fd79d0b83e
26	16	motion aftereffect	the illusion of movement in a stationary object after prolonged viewing of a moving object	trm_4fea25630ffb5
27	16	motion detection	to determine the presence of motion.	trm_557b48aeb7d58
28	16	motor control	The function of supervising motor activities	trm_4a3fd79d0a972
29	16	motor execution	The implementation of a motor movement	trm_4a3fd79d0a97e
30	16	motor inhibition	The process of attenuating a planned movement.	trm_4a3fd79d0a989
1	17	motor learning	the process of improving motor skills, the smoothness and accuracy of movements.	trm_4a3fd79d0a995
2	17	motor planning	"the conception of a future motoric action
"	trm_4a3fd79d0a9a1
3	17	motor program	abstract representation of a movement	trm_4a3fd79d0a9ad
4	17	motor response	A type of response execution using the skeletal motor system	trm_557b48bda071b
5	17	motor sequence learning	The acquisition of knowledge regarding sequences of motor action	trm_4a3fd79d0a9b9
6	17	movement	change of place or position or posture	trm_4a3fd79d0a9c4
7	17	multisensory	a process associated with multiple sensory modalities 	trm_4e31d3ba7d25b
8	17	multisensory integration	The process by which unisensory signals are combined to form a new product. It is operationally defined as a multisensory response (neural or behavioral) that is significantly different from the responses evoked by the modality-specific component stimuli	trm_4e31ced566649
9	17	multistable perception	conflicting sensory input results in spontaneous, sometimes controllable, experiences thereof	trm_502abeab4e1d8
10	17	naming	the expression of the name of an object	trm_4a3fd79d0a9dc
11	17	narrative	a story that is created in a constructive format (as a work of writing, speech, poetry, prose, pictures, song, motion pictures, video games, theater or dance) that describes a sequence of fictional or non-fictional events.	trm_4a3fd79d0a9e8
12	17	navigation	The process of controlling the movement of a body/entity/vehicle through space from one point to another.	trm_4a3fd79d0aa00
13	17	negative emotion	ADD DEFINITION HERE	trm_557b48d40d3cf
14	17	negative feedback processing	Evaluating a piece of information that has externally ascribed negative salience in terms of meaning or associations to other concepts as opposed to surface or incidental characteristics.	trm_557b48e337218
15	17	negative priming	is a kind of priming in which the speed of processing is slower than unprimed levels. It is caused by experiencing the stimulus and then ignoring it	trm_5521a7a1376ed
16	17	neologism	"is the production of nonsense word or words, usually without recognition of errors, e.g., ‘table’ becomes ‘tilto.’

"	trm_4d7fa2df05f23
17	17	neuroplasticity	The brain&#39;s ability to change in structure and function through experience.	trm_51a690eeadcb7
18	17	nociception	the processes of encoding and processing noxious stimuli.	trm_4a3fd79d0aa0c
19	17	noesis	a consciousness characterized by knowing or familiarity without self-reference (contrast with autonoesis)	trm_4ffdc96dc85b7
20	17	noise sensitivity	having a tendency to react negatively or with alarm to noise input which is generally considered harmless or non-irritating to neurotypical individuals.	trm_525d8f3ed78a2
21	17	nondeclarative knowledge	The nonconscious or implicit ability to express and practice learned information.	trm_4a3fd79d0aa23
22	17	nondeclarative memory	Memory acquired through experience and which can not be consciously articulated (such as by recall or recognition). This type of memory includes priming, conditioning, skill-acquisition, and habits.	trm_4a3fd79d0aa2f
23	17	novelty detection	the identification of new or unknown information	trm_4a3fd79d0aa47
24	17	numerical scale judgment	ADD DEFINITION HERE	trm_557b48f22ba99
25	17	object categorization	the assignment of an object to a particular category	trm_4a3fd79d0aa5e
26	17	object centered representation	"In an object-centered representation, the position of the subparts of an object are encoded with respect to a set of axes and an origin centered on the object. Several physiological and neuropsychological results support the existence of such representations in humans and monkeys. An explicit representation would involve neurons with invariant response properties in object-centered coordinates.
"	trm_4a3fd79d0aa6a
27	17	object detection	deals with detecting instances of semantic objects of a certain class (such as humans, buildings, cars, etc.).	trm_4a3fd79d0aa76
28	17	object maintenance	The process of keeping object information in active and immediately accessible state.	trm_557b4904ee26d
29	17	object manipulation	is a form of dexterity play or performance in which one or more artists physically interact with props such as balls, hoops, rings, poi, staff, devil sticks, or clubs. Object manipulation can be considered an advanced combinatorial form of sports, dance, and games.	trm_4a3fd79d0aa8d
30	17	object perception	The process of transforming basic visual sensory input (such as contrast, edge, motion, color etc) into a more abstract and semantically identifiable whole.	trm_4a3fd79d0aaa4
1	18	object recognition	"is the ability to perceive an object’s physical properties (such as shape, colour and texture) and apply semantic attributes to the object, which includes the understanding of its use, previous experience with the object and how it relates to others.
"	trm_4a3fd79d0aab0
2	18	Object-based attention	refers to the relationship between an ‘object’ representation and a person’s visually stimulated, selective attention	trm_552185f5cda66
3	18	obsession	compulsive preoccupation with a fixed idea or an unwanted feeling or emotion, often accompanied by symptoms of anxiety	trm_523e0419ec219
4	18	oddball detection	detecting patterns in a given data set that do not conform to an established normal behavior.	trm_557b491318742
5	18	offensive (proactive) aggression	A response elicited by competition over resource acquisition or other positive consequences. This form of aggression often arises from differences in social status and dominance.	trm_5159c8a5d3d13
6	18	olfaction	the sense of smell; the act or process of smelling.	trm_4a3fd79d0aabc
7	18	olfactory perception	the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form. 	trm_4a3fd79d0aac8
8	18	openness	"Openness to experience is one of the domains which are used to describe human personality in the Five Factor Model. Openness involves active imagination, aesthetic sensitivity, attentiveness to inner feelings, preference for variety, and intellectual curiosity.

http://en.wikipedia.org/wiki/Openness_to_experience"	trm_523f5f918cb2c
9	18	optical illusion	A phenomenon in which what is visually perceived does not reflect the nature of the objective stimulus.	trm_4fb2c38960950
10	18	orthographic lexicon	A set of representations of orthographic information	trm_4a3fd79d0aad4
11	18	orthography	"the representation of the sounds of a language by written or printed symbols; a part of language study that deals with letters and spelling.
"	trm_4a3fd79d0b84a
12	18	overt attention	directing a sense organ at a stimulus source	trm_4feb3f8c551cb
13	18	overt naming	write definition here	trm_558c74b165bb1
14	18	pain	An unpleasant sensory and emotional experience associated with actual or potential tissue damage.	trm_4b65259eeee34
15	18	pain habituation	A painful stimulus is perceived less painful over the time course of stimulation.	trm_4e6127bd91be9
16	18	pain sensitization 	A painful stimulus is perceived more painful over the time course of stimulation.	trm_4e61264db33d4
17	18	paranoia	a mental condition characterized by delusions of persecution, unwarranted jealousy, or exaggerated self-importance, typically elaborated into an organized system. It may be an aspect of chronic personality disorder, of drug abuse, or of a serious condition such as schizophrenia in which the person loses touch with reality.	trm_52405e33adafa
18	18	paraphasia	"generally refers to errors in naming. Collectively, this term is applied to any unintended error of word or sound choice.
"	trm_4d7fa1a3e2a10
19	18	parsing	to resolve (as a sentence) into component parts of speech and describe them grammatically	trm_4a3fd79d0ab42
20	18	passive attention	"refers to the involuntary process directed by external events that stand out from their environment, such as a bright flash, a strong odor, or a sudden loud noise.
"	trm_4a3fd79d0ab4d
21	18	past tense	refers to a form of a verb that indicates that the action already has occurred 	trm_4a3fd79d0ab59
22	18	pattern maintenance	The process of keeping pattern information in active and immediately accessible state.	trm_557b49206928b
23	18	pattern recognition	The process of identifying a meaningful pattern in raw data.	trm_4a3fd79d0ab65
24	18	pavlovian conditioning	"a form of learning in which a stimulus (designated the ""conditional stimulus"" or CS and being one without inherent significance) is paired with an unconditional stimulus or US, so named because it is biologically significant (e.g. food, sex, drug, pain), until the participant responds to the former in a way that conveys its association of the two. Importantly, participant response may be different between the US and its paired CS."	trm_4a3fd79d0ab70
25	18	perception	the conscious experience or mental registration of a sensory stimulus	trm_4a3fd79d0ab7c
26	18	perceptual binding	"is the cognitive ability to couple characteristics between items that one is perceiving.  This can be illustrated by the one observing a blue square and a yellow circle.  Through the neural mechanisms of perceptual binding, one can ensure that the sensing of blue is coupled to that of a square shape and that of yellow is coupled to that of a circle.
"	trm_4a3fd79d0ab88
27	18	perceptual categorization	"A selective system that can have no a priori information about the particular stimuli that might be encountered in its environment, other than boundary conditions implicit in the construction of its recognizing elements. Perceptual categorization, according to this view, does not involve the ""reading in"" of readily available information about the stimulus category; rather, it involves the utilization of multiple cues in degenerate, overlapping sets and under the influence of context.  
"	trm_4a3fd79d0ab93
28	18	perceptual fluency	"is the ease at which the brain can process information.
"	trm_4a3fd79d0ab9f
29	18	perceptual identification	"has two different processing stages.  The first stage yields a state of of perceptual information about the stimulus presented.  The second stage is the processing of attained perceptual information in a response. 
"	trm_4a3fd79d0abaa
30	18	perceptual learning	long lasting improvement in performing perceptual  (visual, auditory, tactile, olfactory or taste) tasks as a function of experience.	trm_4a3fd79d0abb6
1	19	perceptual priming	is based on the form of the stimulus and is enhanced by the match between the early and later stimuli.	trm_5519ba1746e95
2	19	perceptual similarity	Perceptual similarity is the subjective similarity between two stimuli as perceived by the observer. Thus, object A may be rated as more similar to object B than to object C despite a greater difference in some physical metric (such as height or width) between objects A and C than between objects A and B. This may differ across modalities: for example, two objects may be rated as more similar when seen than when touched. However, the physical, objective similarity between the two objects remains the same regardless of which modality is used to explore them.	trm_4a3fd79d0abc1
3	19	perceptual skill	The ability to observe and understand the events surrounding an individual.	trm_4a3fd79d0abcd
4	19	perfectionism	a personality trait characterized by a person&#39;s striving for flawlessness and setting excessively high performance standards, accompanied by overly critical self-evaluations and concerns regarding others&#39; evaluations.	trm_525c58f9aabae
5	19	performance monitoring	the online evaluation of one&#39;s performance on a task	trm_4a3fd79d0ac30
6	19	phonation	process by which the vocal folds produce certain sounds through quasi-periodic vibration; any oscillatory state of any part of the larynx that modifies the airstream.	trm_4a3fd79d0ac4a
7	19	phonemic paraphasia	"is the production of unintended sounds or syllables in the utterance of partially recognizable word, e.g., ‘paker’ for ‘paper.’
"	trm_4d7fa1ee2f870
8	19	phonetics	the system of speech sounds of a language or group of languages; the study and systematic classification of the sounds made in spoken utterance.	trm_4a3fd79d0b862
9	19	phonological assembly	WRITE DEFINITION HERE	trm_558c74156b7ee
10	19	phonological awareness	Explicit awareness of the abstract units that compose spoken words, including syllables, onset and rime units, and individual phonemes.	trm_5240fddc2e43e
11	19	phonological buffer	a passive storage device that is part of the articulatory rehearsal loop; serves as a part of the mechanisms ordinarily needed for hearing.  In rehearsal, the buffer is loaded by means of subvocalization.	trm_4a3fd79d0ac61
12	19	phonological code	A representation of information using phonological features	trm_4a3fd79d0ac7a
13	19	phonological comparison	write definition here	trm_558c73b3663a6
14	19	phonological encoding	"involves retrieval of segmental and supra-segmental information and the generation of a syllabified phonological word, and the computation of the phonetic form of the intended utterance, referred to as phonetic encoding.

"	trm_4a3fd79d0ac87
15	19	phonological loop	deals with sound or phonological information and consists of two parts: a short-term phonological store with auditory  memory traces that are subject to rapid decay and an articulatory rehearsal component that can revive the memory traces. 	trm_4a3fd79d0ba48
16	19	phonological processing	Refers to the use of phonological information (i.e., the sound of one&#39;s language) in processing written and oral language.	trm_52b5f1ef4f9cc
17	19	phonological retrieval	The retrieval of phonological representations based on other cues	trm_4a3fd79d0ac93
18	19	phonological working memory	The process of maintaining sound information online for a limited amount of time.	trm_4a3fd79d0ac9e
19	19	phototransduction	in which energy from visual stimuli is transduced into a signal in the retina to the brain	trm_5029751d118c4
20	19	place maintenance	keeping information about a scene or place in active and immediately accessible state.	trm_557b493133416
21	19	planning	formulation, evaluation and selection of a sequence of actions to achieve a desired goal.	trm_4a3fd79d0acc1
22	19	positive feedback processing	Evaluating a piece of information that has externally ascribed positive value in terms of meaning or associations to other concepts as opposed to surface or incidental characteristics.	trm_557b493e4203a
23	19	positive priming	refers to increased speed of processing of priming caused by simply experiencing the stimulus	trm_5521a3da10349
24	19	potential monetary loss	A potential negative return in the form of money for performance of a specific behavior. 	trm_557b494ca540d
25	19	potential monetary reward	A potential positive return in the form of money for performance of a specific behavior.	trm_557b495cdde57
26	19	pragmatic inference	Inferences are made when a person (or machine) goes beyond available evidence to form a conclusion. A pragmatic inference (also known as an inductive inference) is one which is likely to be true because of the state of the world. Unlike deductive inferences, pragmatic (inductive) inferences do yield conclusions that increase the semantic information over and above that found in the initial premises. 	trm_4a3fd79d0ad12
27	19	pragmatic knowledge	is how individuals communicate meaning and how they produce contextually appropriate utterances, sentences, or texts.  Pragmatic knowledge includes sociolinguistic and functional knowledge.  	trm_4a3fd79d0ad1d
28	19	pragmatic reasoning	Pragmatic reasoning is defined as the process of finding the intended meaning(s) of the given, and it is suggested that this amounts to the process of inferring the appropriate context(s) in which to interpret the given.	trm_4a3fd79d0ad29
29	19	preattentive processing	background activity that necessarily precedes conscious mental activity; major purpose is the preparation of sensory input for use in focal-attentive processes including encoding of the basic properties of sensory input.	trm_4a3fd79d0ad41
30	19	preconscious perception	"is the subthreshold process of visual perception. 

"	trm_4a3fd79d0ad4c
1	20	prejudice	preconceived judgment or opinion; an adverse opinion or leaning formed without just grounds or before sufficient knowledge; an irrational attitude of hostility directed against an individual, a group, a race, or their supposed characteristics.	trm_4a3fd79d0ad64
2	20	primary memory	the temporary maintenance system for conscious processing of information.	trm_4a3fd79d0ad94
3	20	priming	Priming is the effect of prior exposure to a somehow (e.g. perceptually or semantically) related stimulus on the response to a subsequent stimulus. This effect may be positive and facilitatory (e.g. naming of an object is typically faster when that object has already been recently named) or negative and detrimental (e.g. slower response to a previously ignored stimulus).	trm_4e89aebaa311d
4	20	proactive control	ADD DEFINITION HERE	trm_557b49851e991
5	20	proactive interference	the forgetting of information due to interference from the traces of events or learning that occurred prior to the materials to be remembered; occurs when in any given context, past memories inhibit an individual’s full potential to retain new memories.	trm_4a3fd79d0adab
6	20	problem solving	Broadly, the mental processes involved in finding a solution to a problem.	trm_4a3fd79d0adb7
7	20	procedural knowledge	Knowledge exercised in the performance of a task/activity. Its acquisition or structure is often unavailable to the actor.	trm_4a3fd79d0adc3
8	20	procedural learning	The acquisition of a skill or ability through practice which is not accessible to verbalization or conscious awareness.	trm_4a3fd79d0adcf
9	20	procedural memory	memory for how to do things; procedural memories are automatically retrieved and utilized for the execution of the step-by-step procedures involved in both cognitive and motor skills.	trm_4a3fd79d0addc
10	20	procedural rule	No definition submitted yet	trm_4a3fd79d0ade8
11	20	processing capacity	No definition submitted yet	trm_4a3fd79d0adf4
12	20	processing stage	A subset of mental operations that are confined some feature space of information within a stream and/or hierarchy of mental operations.	trm_4a3fd79d0ae00
13	20	Production of non-facial communication	The capacity to express social and emotional information based on modalities other than facial expression, including non-verbal gestures, affective prosody, distress calling, cooing, etc.	trm_5154b23a3156a
14	20	Productive facial communication	The capacity to convey one’s emotional state non-verbally via facial expressions, including eye contact, expressive reciprocation, and gaze following.	trm_5154aa9735134
15	20	pronunciation	the way a word or a language is spoken, or the manner in which someone utters a word.	trm_4a3fd79d0ae17
16	20	proper noun	A subject that usually indicates a particular person, place, or object.	trm_4a3fd79d0ae2b
17	20	proprioception	the sense of the relative position of neighboring parts of the body.	trm_4a3fd79d0ae3d
18	20	prosodic stress	the stress and intonation patterns of an utterance. 	trm_4a3fd79d0ae58
19	20	prosody	the rhythm, stress, and intonation of speech.	trm_4a3fd79d0ae64
20	20	prospective memory	remembering to perform an intended action...prospective memory is self-initiated and does not operate directly on external stimuli.	trm_4a3fd79d0ae70
21	20	prospective planning	No definition submitted yet	trm_4a3fd79d0ae7b
22	20	prototype	A most common, standard or basic mental representation of some category.	trm_4a3fd79d0ae87
23	20	psychological refractory period	the phenomenon by which people are unable to make more than one conscious decision (and, by extension, unable to complete more than one task) within a few hundred milliseconds	trm_4ffca95528c88
24	20	psychosis	A kind of disordered thinking for which thought and emotions are so impaired that contact is lost with external reality.	trm_52405de6b7a63
25	20	punishment	the authoritative imposition of an undesirable or unpleasant outcome upon a group or individual, in response to a particular action or behaviour that is deemed unacceptable or threatening to some norm (from Wikipedia.org)	trm_5534111a8bc96
26	20	quantitative skill	"the ability to to use mathematical concepts to solve problems.  
"	trm_4a3fd79d0aeaa
27	20	rapid reacquisition	following extinction, when reacquisition of responding to previous CS is more rapid than acquisition with a novel CS	trm_50240210a9902
28	20	reading	Decoding symbols to derive their meaning.	trm_4a3fd79d0aeb6
29	20	reasoning	drawing of inferences or conclusions through the use of reason.	trm_4a3fd79d0aec1
30	20	recall	The process of retrieving previously stored information, done without the aid of external cues.	trm_4a3fd79d0b95b
1	21	reception of facial communication	The capacity to perceive someone’s emotional state non-verbally based on facial expressions. Examples include affect recognition, facial recognition and characterization.	trm_5154a9f45903f
2	21	Reception of non-facial communication	The capacity to perceive social and emotional information based on modalities other than facial expression, including non-verbal gestures, affective prosody, distress calling, cooing, etc.	trm_5154b049c279f
3	21	recognition	assigning a detected stimulus into a category (not necessarily task defined)	trm_4a3fd79d0b967
4	21	reconsolidation	the process of previously consolidated memories being recalled and actively consolidated, it is a distinct process that serves to maintain, strengthen and modify memories that are already stored in the long-term memory.	trm_4a3fd79d0b972
5	21	regret	an emotional response to remembrance of a past state, condition, or experience that one wishes had been different	trm_4a3fd79d0aecd
6	21	rehearsal	The repetition of information in an attempt to maintain it longer in memory.	trm_4a3fd79d0ba54
7	21	rehearsal loop	or phonological loop, also called the phonetic loop or the articulatory loop, is the part of working memory that rehearses verbal information. It consists of two parts: a short-term phonological store with auditory memory traces that are subject to rapid decay and an articulatory rehearsal component that can revive the memory traces.The first component is a phonological memory store which can hold traces of acoustic or speech based material. Material in this short term store lasts about two seconds unless it is maintained through the use of the second subcomponent, articulatory subvocal rehearsal. Prevention of articulatory rehearsal results in very rapid forgetting (a process known as decay). 	trm_4a3fd79d0ba60
8	21	reinforcement learning	ADD DEFINITION HERE	trm_557b4993a0fdd
9	21	reinstatement	following extinction, conditioned response returns after exposure to unconditional stimulus (US) alone	trm_502403240a2a2
10	21	relational comparison	Comparison of two stimuli based on a relational feature	trm_555cfb890d721
11	21	relational learning	learning to differentiate among stimuli on the basis of relational properties (e.g., the larger of two stimuli) rather than absolute properties (e.g., the stimulus that has a given size).	trm_4a3fd79d0aed8
12	21	remembering	the process of consciously reviving or bringing to awareness previous events, experiences, or information. Remembering also involves the process of retaining such material, which is essential to learning. Remembering is distinct from knowing.	trm_4a3fd79d0b97e
13	21	remote memory	memory for events of long ago as opposed to recent events.	trm_4a3fd79d0aee4
14	21	renewal	following extinction, change of context causes a return of conditioned responding	trm_5023eccc628b3
15	21	Repetition priming	refers to the finding that an initial presentation of a stimulus influences the way in which an individual will respond to that stimulus when it is presented at a later time.	trm_5521a45a397a6
16	21	representation	It is the mental imagery of things such as objects, events and settings that are not currently seen or sensed by the sense organs	trm_5519b384d446c
17	21	repressed memory	A memory (often traumatic) that is unavailable for recall.	trm_4a3fd79d0aeef
18	21	resistance to distractor inference	ADD DEFINITION HERE	trm_557b499fac085
19	21	resource	any aspect of cognition having bounded availability, eg. memory, attention	trm_4f3a72a028d90
20	21	resource limit	the maximum amount of cognitive resources that can be allocated to various, often competing tasks	trm_4a3fd79d0af4c
21	21	resource sharing	"is a unique characteristic of humans and several primates that involve sharing resources such as food, shelter, etc., as a collective risk-reduction against variability in resource supply.
"	trm_4a3fd79d0af5a
22	21	response bias	"A behavioral phenomena for which a participant in an experiment is biased to respond in a particular way.

** Concepts in the Cognitive Atlas that are more behavioral in nature should be tagged as ""behavioral phenomena"""	trm_559f0a129c136
23	21	response conflict	ADD DEFINITION HERE	trm_557b49ad14adf
24	21	response execution	Performance of an action in accordance with task demands, enacting a specific overt behavior	trm_557b4a7315f1b
25	21	response inhibition	Suppression of actions that are inappropriate in a given context and that interfere with goal-driven behavior.	trm_4a3fd79d0af66
26	21	Response priming	denotes a special form of visuomotor priming effect in which prime and target are presented in quick succession	trm_5521a663cd89c
27	21	response selection	The selection of one action from a limited set of possible actions.	trm_4a3fd79d0af71
28	21	restricted behavior	A restricted behavior is a stereotyped pattern of behavior, activity, or interest. Examples include preoccupation with an object, activity, or topic, and this preoccupation is abnormal in intensity or focus.  Individuals with restricted behaviors may find it challenging to break away from habit or routine.	trm_52068e5bd9aa1
29	21	retention	"a preservation of the aftereffects of experience and learning that makes recall or recognition possible.
Persistence of learned behavior or experience during a period when it is not being performed o r practiced.
Retention is the second stage of memory after encoding and before retrival"	trm_4a3fd79d0af7d
30	21	retrieval	"The process of accessing information from memory or other storage devices; the possibility of recovery, restoration, or rectification.
Retrieval is the third stage of memory after encoding and retention."	trm_4a3fd79d0af94
1	22	retrieval cue	An event or experience that facilitates retrieval of information from long-term memory because of its association to that information.	trm_4a3fd79d0afa0
2	22	retroactive interference	impeded retrieval and performance of previously learnt information due to newly acquired and practiced information.	trm_4a3fd79d0afab
3	22	reward	A positive return for performance of a specific behavior.	trm_4b6525253c63f
4	22	reward anticipation	prior expectation of the occurrence of a reward, sometimes accompanied by an emotional reaction 	trm_557b4a81a4a17
5	22	reward learning	A process by which organisms acquire information about stimuli, actions, and contexts that predict positive outcomes, and by which behavior is modified when a novel reward occurs or outcomes are better than expected. Reward learning is a type of reinforcement learning, and similar processes may be involved in learning related to negative reinforcement.	trm_5159cb12a0f92
6	22	reward valuation	Processes by which the probability and benefits of a prospective outcome are computed and calibrated by reference to external information, social context (e.g., group input, counterfactual comparisons), and/or prior experience. This calibration is influenced by pre-existing biases, learning, memory, stimulus characteristics, and deprivation states. Reward valuation may involve the assignment of incentive salience to stimuli.	trm_5159c94667677
7	22	rhythm	Movement marked by the regulated succession of strong and weak elements, or of opposite or different conditions.  While rhythm most commonly applies to sound, such as music and spoken language, it may also refer to visual presentation, as timed movement through space.	trm_4a3fd79d0afc3
8	22	right finger response execution	Performance of an action using the right finger in accordance with task demands.	trm_55b6b910b4b23
9	22	right hand response execution	Performance of an action with the right hand in accordance with task demands.	trm_558c7b337080f
10	22	right toe response execution	Performance of an action using the right toe in accordance with task demands.	trm_55b6b952c1b4c
11	22	rigidity	unable to stray from a particular pattern of behavior or thought	trm_523e0a4b443dc
12	22	risk	"Formally and mathematically speaking, the minimal definition of risk is what (Rothschild and Stiglitz, 1970) call a mean-preserving increase in dispersion. A typical example is a gamble offering $400 or $600 based on the outcome of a coin flip (i.e. with equal probability (50%)); this is less risky as compared to a similar gamble offering $200 or $800 [again depending on the outcome of a coin flip]. Notice here that the mean outcome (or “expected value”) remains the same for both gambles.

Thus risk can increase by keeping both the probabilities and the expected value the same. 

There are other approaches to risk that are less mathematically stringent but have higher ecological validity. For instance increasing the probability of a (positive outcome) is associated with a reduced perception of risk. Notice though now that the expected value (or the mean outcome) also increases. So, it is difficult in that case to disentangle the two metrics.

Many times  the term risk is associated with the probability of a negative outcome, or what is formally called downside risk. This idea is mostly due to the way actuarial science and insurance companies (which are more interested in the negative aspects of risk) use the term. For instance, the statement, “now we increase the risk,” might be translated as taking more perilous actions, but formally, this is not the case. The point of risk is that the opportunity also increases (“upside” risk). Thus, a situation that is riskier can be attractive, especially if the agent focuses on the positive outcomes.

Another approach is the so-called “moment-based” approach. Here, one is interested in the second or higher moments of a distribution, roughly corresponding to variance, skewness and kurtosis. Skewness is of particular interest because it seems that risk-seeking persons (gamblers) can be attracted by positively skewed outcomes. Bets that offer a small probability of a high outcome are  attractive to gamblers (Garrett and Sobel, 1999).

Overall, risk is not a unitary concept and should be very carefully defined.

Note that the term risk as used here should be distinguished from the way the term is used in sentences such as ""risk of developing Parkinson&#39;s disease"". An epidemiologist could help on the definition in that context.

Input by other contributors:
the probability or likelihood that an event will occur; possibility of loss or injury; someone or something that creates or suggests a hazard; the chance that an investment will lose value."	trm_4a3fd79d0afcf
13	22	risk aversion	when exposed to uncertainty, behavior that attempts to reduce that uncertainty. 	trm_55ce71c47f37b
14	22	risk processing	the extraction of information about the potential or current threat of a stimuli.	trm_557b4a913f8cc
15	22	risk seeking	The willingness of an individual to choose an option with a less-than-certain probability of reward over an option with a certain reward of equal or higher expected value. 	trm_4a3fd79d0b64e
